epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.59765625,0.0010000000474974513,0.8836272358894348,0.25,1.3719582557678223
1,0.6875,0.0010000000474974513,0.6875485181808472,0.25,1.3869997262954712
2,0.78515625,0.0010000000474974513,0.5600677132606506,0.296875,1.4430413246154785
3,0.81640625,0.0010000000474974513,0.5137244462966919,0.25,1.4886090755462646
4,0.8046875,0.0010000000474974513,0.47089454531669617,0.25,1.635385513305664
5,0.81640625,0.0005000000237487257,0.4381500780582428,0.25,1.8780252933502197
6,0.875,0.0005000000237487257,0.3477616012096405,0.25,1.9761701822280884
7,0.86328125,0.0005000000237487257,0.33913904428482056,0.25,2.0647475719451904
8,0.890625,0.0005000000237487257,0.3044393062591553,0.25,2.4375357627868652
